date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:44:19	143188/143188	---M--	200	added ('OK')	font/woff	etag:%225f3eb7cd-22f54%22	https://rsms.me/inter/font-files/Inter-Italic.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-Italic57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:20	105500/105500	---M--	200	added ('OK')	font/woff2	etag:%225f3eb7cd-19c1c%22	https://rsms.me/inter/font-files/Inter-Medium.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-Medium57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:20	142340/142340	---M--	200	added ('OK')	font/woff	etag:%225f3eb7cd-22c04%22	https://rsms.me/inter/font-files/Inter-Medium.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-Medium57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:20	111968/111968	---M--	200	added ('OK')	font/woff2	etag:%225f3eb7cd-1b560%22	https://rsms.me/inter/font-files/Inter-MediumItalic.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-MediumItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:20	149704/149704	---M--	200	added ('OK')	font/woff	etag:%225f453f00-248c8%22	https://rsms.me/inter/font-files/Inter-MediumItalic.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-MediumItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:20	105992/105992	---M--	200	added ('OK')	font/woff2	etag:%225f3eb7cd-19e08%22	https://rsms.me/inter/font-files/Inter-SemiBold.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-SemiBold57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:20	142760/142760	---M--	200	added ('OK')	font/woff	etag:%225f3eb7cd-22da8%22	https://rsms.me/inter/font-files/Inter-SemiBold.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-SemiBold57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:21	111676/111676	---M--	200	added ('OK')	font/woff2	etag:%225f3ebe77-1b43c%22	https://rsms.me/inter/font-files/Inter-SemiBoldItalic.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-SemiBoldItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:21	149776/149776	---M--	200	added ('OK')	font/woff	etag:%225f3eb7cd-24910%22	https://rsms.me/inter/font-files/Inter-SemiBoldItalic.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-SemiBoldItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:21	106052/106052	---M--	200	added ('OK')	font/woff2	etag:%225f3eb7cd-19e44%22	https://rsms.me/inter/font-files/Inter-Bold.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-Bold57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:21	143100/143100	---M--	200	added ('OK')	font/woff	etag:%225f3eb7cd-22efc%22	https://rsms.me/inter/font-files/Inter-Bold.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-Bold57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:22	111644/111644	---M--	200	added ('OK')	font/woff2	etag:%225f3eb7cd-1b41c%22	https://rsms.me/inter/font-files/Inter-BoldItalic.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-BoldItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:22	149808/149808	---M--	200	added ('OK')	font/woff	etag:%225f3eb7cd-24930%22	https://rsms.me/inter/font-files/Inter-BoldItalic.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-BoldItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:22	106048/106048	---M--	200	added ('OK')	font/woff2	etag:%225f3eb7cd-19e40%22	https://rsms.me/inter/font-files/Inter-ExtraBold.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-ExtraBold57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:22	142760/142760	---M--	200	added ('OK')	font/woff	etag:%225f3eb7cd-22da8%22	https://rsms.me/inter/font-files/Inter-ExtraBold.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-ExtraBold57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:23	111896/111896	---M--	200	added ('OK')	font/woff2	etag:%225f3ebe77-1b518%22	https://rsms.me/inter/font-files/Inter-ExtraBoldItalic.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-ExtraBoldItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:23	149372/149372	---M--	200	added ('OK')	font/woff	etag:%225f453f00-2477c%22	https://rsms.me/inter/font-files/Inter-ExtraBoldItalic.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-ExtraBoldItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:23	102832/102832	---M--	200	added ('OK')	font/woff2	etag:%225f453f00-191b0%22	https://rsms.me/inter/font-files/Inter-Black.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-Black57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:23	138628/138628	---M--	200	added ('OK')	font/woff	etag:%225f453f00-21d84%22	https://rsms.me/inter/font-files/Inter-Black.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-Black57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:23	108564/108564	---M--	200	added ('OK')	font/woff2	etag:%225f3ebe77-1a814%22	https://rsms.me/inter/font-files/Inter-BlackItalic.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-BlackItalic57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:23	145612/145612	---M--	200	added ('OK')	font/woff	etag:%225f3ebbea-238cc%22	https://rsms.me/inter/font-files/Inter-BlackItalic.woff?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-BlackItalic57a3.woff	(from https://rsms.me/inter/inter.css)
15:44:24	33192/33192	---M--	200	added ('OK')	font/woff2	etag:%225f453f00-81a8%22	https://rsms.me/inter/font-files/Inter-italic.extra.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.extra.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:24	33192/33192	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-81a8%22	https://rsms.me/inter/font-files/Inter-italic.alternates.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.alternates.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:24	20652/20652	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-50ac%22	https://rsms.me/inter/font-files/Inter-italic.symbols.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.symbols.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:24	37348/37348	---M--	200	added ('OK')	font/woff2	etag:%225f40553a-91e4%22	https://rsms.me/inter/font-files/Inter-italic.cyrillic.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.cyrillic.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:24	31332/31332	---M--	200	added ('OK')	font/woff2	etag:%225f453f00-7a64%22	https://rsms.me/inter/font-files/Inter-italic.greek.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.greek.var57a3.woff2	(from https://rsms.me/inter/inter.css)
15:44:25	9780/9780	---M--	200	added ('OK')	font/woff2	etag:%225f453f00-2634%22	https://rsms.me/inter/font-files/Inter-italic.vietnamese.var.woff2?v=3.15	E:/DemoHTML/SBS/rsms.me/inter/font-files/Inter-italic.vietnamese.var57a3.woff2	(from https://rsms.me/inter/inter.css)
